id_region	name_region	xcoord	ycoord	zcoord	poprisk	ncases
110	Ilhavo	-49312.97192	107907.7013	0	38405	133
111	Lagoa	-27568.3924	-283317.8574	0	22748	9
112	Lagos	-49227.72333	-283520.418	0	30442	4
113	Lamego	27669.59575	158801.7563	0	24959	39
114	Leiria	-59174.84204	10907.50829	0	124857	84
115	Lisboa	-88617.81566	-102843.3935	0	507220	2409
116	Loule	5661.369885	-279651.3643	0	68873	70
117	Loures	-86487.96255	-94845.83869	0	211359	1066
118	Lourinha	-100966.6325	-45464.12136	0	25670	9
119	Lousa	-8214.904271	48711.6877	0	17128	20
120	Lousada	-11613.01144	179588.6102	0	46790	337
121	Macao	9663.082127	-11052.81803	0	6323	NA
122	Macedo de Cavaleiros	97405.62711	208237.0937	0	14550	22
123	Mafra	-104231.0675	-78340.18856	0	84008	131
124	Maia	-40624.61775	173958.0795	0	137727	944
125	Mangualde	31966.23709	104283.4065	0	18618	78
126	Manteigas	51460.4635	83919.82556	0	3037	7
127	Marco de Canaveses	-1597.408173	167395.1205	0	51661	90
128	Marinha Grande	-70435.64515	11397.39453	0	38404	18
129	Marvao	64809.46796	-34023.5749	0	3054	NA
130	Matosinhos	-42774.78762	171162.9082	0	174382	1280
131	Mealhada	-26327.42073	79301.74217	0	19892	18
132	Meda	73883.5617	144875.6573	0	4617	NA
133	Melgaco	-8527.30325	270843.6546	0	8144	63
134	Mertola	41150.3469	-218200.0014	0	6202	NA
135	Mesao Frio	21529.38945	166117.0319	0	3996	NA
136	Mira	-51567.95938	83026.11941	0	11831	6
137	Miranda do Corvo	-16631.40441	47736.15927	0	12687	17
138	Miranda do Douro	149663.5505	202812.2022	0	6877	10
139	Mirandela	79786.56793	201236.4494	0	21808	21
140	Mogadouro	120027.2751	183331.5124	0	8481	5
141	Moimenta da Beira	44737.92483	146775.9887	0	9729	15
142	Moita	-76583.00718	-113408.4752	0	64526	160
143	Moncao	-24976.05679	264020.8868	0	17902	116
144	Monchique	-39324.47451	-259586.6482	0	5182	NA
145	Mondim de Basto	15429.24522	192583.3552	0	6985	NA
146	Monforte	62236.73011	-70479.97859	0	2989	NA
147	Montalegre	22434.7341	230859.7529	0	9090	NA
148	Montemor-o-Novo	-7262.658401	-111645.837	0	15740	8
149	Montemor-o-Velho	-42239.71729	61501.28182	0	25230	30
150	Montijo	-74672.63652	-106323.8043	0	56887	120
151	Mora	-4247.22024	-79379.28195	0	4188	NA
