"nome_cc"	"x"	"y"	"objectid"	"cod"	"popres18"	"z"	"casos"
"75"	"Coimbra"	-27060.5343	62879.214367	75	"16E0603"	133724	0	585
"76"	"Condeixa-a-Nova"	-29453.1085176	48054.0327535	76	"16E0604"	17597	0	155
"77"	"Constância"	-13841.4533407	-20549.9544114	77	"16I1408"	4002	0	NA
"78"	"Coruche"	-32341.4899177	-78669.1837229	78	"1851409"	17629	0	49
"79"	"Covilhã"	54054.5225691	68123.3672901	79	"16J0503"	47127	0	7
"80"	"Crato"	46384.2058582	-41768.0252246	80	"1861206"	3185	0	NA
"81"	"Cuba"	21118.2902301	-165667.178179	81	"1840207"	4599	0	4
"82"	"Elvas"	84684.0509514	-93083.7338982	82	"1861207"	20706	0	10
"83"	"Entroncamento"	-29961.0787039	-22033.3454392	83	"16I1410"	21214	0	8
"84"	"Espinho"	-40468.0563576	148889.218861	84	"11A0107"	29484	0	91
"85"	"Esposende"	-53413.1260189	208248.261488	85	"1120306"	34057	0	47
"86"	"Estarreja"	-37696.822117	121442.183437	86	"16D0108"	25965	0	99
"87"	"Estremoz"	47051.9015671	-91653.168135	87	"1870704"	12816	0	NA
"88"	"Évora"	19562.4314435	-121729.464839	88	"1870705"	52454	0	25
"89"	"Fafe"	-3520.57025936	197812.512512	89	"1190307"	48271	0	122
"90"	"Faro"	20013.410815	-295453.892996	90	"1500805"	60974	0	66
"91"	"Felgueiras"	-5916.3854162	187704.72698	91	"11C1303"	56576	0	406
"92"	"Ferreira do Alentejo"	-4920.27415203	-180611.109011	92	"1840208"	7848	0	NA
"93"	"Ferreira do Zêzere"	-14542.514775	5254.88350464	93	"16I1411"	7989	0	NA
"94"	"Figueira da Foz"	-60123.6624493	55987.2567729	94	"16E0605"	58866	0	34
"95"	"Figueira de Castelo Rodrigo"	98560.1522961	138662.638417	95	"16J0904"	5652	0	NA
"96"	"Figueiró dos Vinhos"	-11642.6406019	24213.67526	96	"16F1008"	5608	0	7
"97"	"Fornos de Algodres"	49622.3122487	106513.216369	97	"16J0905"	4561	0	3
"98"	"Freixo de Espada à Cinta"	110564.685337	160306.801651	98	"11D0404"	3312	0	NA
"99"	"Fronteira"	40376.2181322	-66201.7912007	99	"1861208"	2986	0	NA
"100"	"Fundão"	54492.3904953	54139.1487907	100	"16J0504"	26719	0	5
"101"	"Gavião"	17962.1164275	-23401.3639036	101	"1861209"	3347	0	NA
"102"	"Góis"	1060.14298313	51815.3999716	102	"16E0606"	3825	0	10
"103"	"Golegã"	-29598.4170202	-28727.0538163	103	"1851412"	5375	0	NA
"104"	"Gondomar"	-33636.096275	166364.523727	104	"11A1304"	165631	0	1083
"105"	"Gouveia"	44471.7524671	93988.5424584	105	"16J0906"	12486	0	22
"106"	"Grândola"	-37461.4102046	-164845.802711	106	"1811505"	14570	0	11
"107"	"Guarda"	74801.8043578	96882.8948126	107	"16J0907"	39103	0	25
"108"	"Guimarães"	-14968.343268	196575.591805	108	"1190308"	152792	0	716
"109"	"Idanha-a-Nova"	80157.7226189	26651.8925633	109	"16H0505"	8157	0	NA
"110"	"Ílhavo"	-49312.971915	107907.701262	110	"16D0110"	38405	0	133
"111"	"Lagoa"	-27568.3924013	-283317.857391	111	"1500806"	22748	0	9
"112"	"Lagos"	-49227.7233256	-283520.417983	112	"1500807"	30442	0	4
"113"	"Lamego"	27669.5957485	158801.75625	113	"11D1805"	24959	0	39
"114"	"Leiria"	-59174.8420412	10907.5082858	114	"16F1009"	124857	0	84
"115"	"Lisboa"	-88617.815656	-102843.393459	115	"1701106"	507220	0	2409
"116"	"Loulé"	5661.36988485	-279651.364267	116	"1500808"	68873	0	70
